UNRATE
0.056
-0.405
-0.4
-0.367
0.49
-0.082
0.482
0.15
-0.083
-0.257
-0.312
-0.189
-0.017
0.188
0.086
0.245
0.396
-0.195
-0.37
-0.234
-0.27
-0.131
0.195
-0.303
-0.067
-0.345
-0.12
0.003
-0.349
-0.389
-0.034
-0.362
-0.107
0.087
-0.402
-0.061
0.012
-0.261
0.078
0.075
-0.004
0.101
0.021
0.068
-0.255
-0.185
0.152
-0.574
0.323
-0.382
0.096
-0.037
-0.21
-0.338
-0.107
-0.324
-0.012
0.048
0.132
0.06
-0.318
-0.343
-0.12
0.075
0.15
0.101
-0.022
0.044
-0.028
0.26
0.004
-0.012
-0.127
0.087
-0.238
-0.385
-0.245
-0.173
-0.266
0.026
0.201
0.178
0.024
-0.028
0.021
0.114
-0.165
0.301
0.234
0.053
-0.016
-0.38
-0.29
-0.271
0.087
-0.295
0.204
-0.14
-0.217
-0.18
-0.21
0.005
0.293
-0.013
0.029
-0.323
0.089
0.012
0.127
0.059
-0.22
-0.094
-0.217
-0.395
-0.109
-0.075
0.239
-0.368
-0.073
0.071
-0.238
0.062
0.05
-0.1
0.05
-0.026
-0.254
0.098
-0.183
-0.051
-0.112
0.034
-0.531
0.341
-0.124
-0.294
-0.02
0.141
0.135
0.154
0.025
-0.018
0.062
-0.133
-0.303
-0.17
0.02
-0.014
-0
-0.036
0.064
0.085
0.082
0.026
-0.169
0.013
1
0.153
0.051
