Model	RMSE
Intercept Only	1.942592520857272
Least Squares	1.1290159694868465
Ridge	1.2948033646626036
Lasso	1.2100828268370147
Elastic Net	1.226822334994153
Random Forest	0.8824320831755564
Boosting	0.860466019732169
